address,price,area,furnishing
"1 BHK Independent House for Sale in Mayur Vihar 3, New Delhi","55 Lac ","11000 per sqft ",R
"> 10 BHK Independent House for Sale in Munirka, New Delhi","1.45 Cr ","4475 per sqft ",R
"3 BHK Independent House for Sale in Madanpur Khader, New Delhi","22 Lac ","3667 per sqft ",R
"10 BHK Independent House for Sale in Chanakyapuri, New Delhi","42 Cr ","28000 per sqft ",U
"4 BHK Independent House for Sale in Kotla Mubarakpur, South Extension, New Delhi","1.10 Cr ","18803 per sqft ",R
"3 BHK Independent House for Sale in New Delhi","95 Lac ","31667 per sqft ",R
"4 BHK Independent House for Sale in Shahdara, New Delhi","2 Cr ","5556 per sqft ",R
"1 BHK Independent House for Sale in Dev Nagar, Karol Bagh, New Delhi","50 Lac ","7937 per sqft ",U
"4 BHK Independent House for Sale in Priya Enclave, Anand Vihar, New Delhi","7.25 Cr ","51971 per sqft ",R
"4 BHK Independent House for Sale in Vivek Vihar Phase 1, New Delhi","9.25 Cr ","51389 per sqft ",R
"2 BHK Independent House for Sale in Pitampura, New Delhi","3.50 Cr ","46296 per sqft ",R
"5 BHK Independent House for Sale in Dera Mandi, New Delhi","42 Cr ","38182 per sqft ",F
"5 BHK Independent House for Sale in Naraina Vihar, New Delhi","13 Cr ","60185 per sqft ",R
"5 BHK Independent House for Sale in Maujpur, New Delhi","1 Cr ","5000 per sqft ",R
"3 BHK Independent House for Sale in Shalimar Bagh West, Shalimar Bagh, New Delhi","5 Cr ","22332 per sqft ",R
"5 BHK Independent House for Sale in Narain Vihar, Naraina, New Delhi","5.25 Cr ","14583 per sqft ",S
"1 BHK Independent House for Sale in Nanak Pura, Hari Nagar, New Delhi","40 Lac ","7055 per sqft ",R
"6 BHK Independent House for Sale in Uttari Pitampura, New Delhi","6.85 Cr ","50741 per sqft ",U
"2 BHK Independent House for Sale in Shastri Nagar, New Delhi","1 Cr ","11111 per sqft ",U
"2 BHK Independent House for Sale in Palam Colony, Palam, New Delhi","85 Lac ","9444 per sqft ",R
"3 BHK Independent House for Sale in Sagar Pur, New Delhi","30 Lac ","2222 per sqft ",U
"6 BHK Independent House for Sale in Poorvi Pitampura, New Delhi","4.50 Cr ","45000 per sqft ",S
"3 BHK Independent House for Sale in Chandlodia, Chanakyapuri, Ahmedabad","35 Lac ","3500 per sqft ",S
"5 BHK Independent House for Sale in Thaltej, Ahmedabad","6 Cr ","13605 per sqft ",S
"3 BHK Independent House for Sale in Palodia, Ahmedabad","2.90 Cr ","13206 per sqft ",S
"4 BHK Independent House for Sale in Hirawadi, Bapunagar, Ahmedabad","95 Lac ","3958 per sqft ",R
"4 BHK Independent House for Sale in Ghatlodiya, Ahmedabad","4 Cr ","10582 per sqft ",R
"3 BHK Independent House for Sale in Narolgam, Ahmedabad","35 Lac ","3111 per sqft ",S
"4 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","6.50 Cr ","19259 per sqft ",R
"9 BHK Independent House for Sale in Nava Vadaj, Ahmedabad","85 Lac ","38462 per sqft ",R
"4 BHK Independent House for Sale in Shilaj, Ahmedabad","6 Cr ","12579 per sqft ",U
"6 BHK Independent House for Sale in Ranip, Ahmedabad","3.50 Cr ","7071 per sqft ",R
"4 BHK Independent House for Sale in New CG Road, Ahmedabad","2.15 Cr ","9556 per sqft ",S
"4 BHK Independent House for Sale in Sanathal, Ahmedabad","6.25 Cr ","11671 per sqft ",F
"2 BHK Independent House for Sale in Changodar, Ahmedabad","37 Lac ","14625 per sqft ",U
"5 BHK Independent House for Sale in Thaltej, Ahmedabad","6 Cr ","13333 per sqft ",F
"4 BHK Independent House for Sale in Sola, Ahmedabad","2 Cr ","11111 per sqft ",F
"1 BHK Independent House for Sale in Ahmedabad","70 Lac ","11111 per sqft ",U
"2 BHK Independent House for Sale in Wazirabad, New Delhi","1.20 Cr ","24000 per sqft ",S
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","2.75 Cr ","10913 per sqft ",U
"4 BHK Independent House for Sale in Science City, Ahmedabad","8 Cr ","11411 per sqft ",F
"7 BHK Independent House for Sale in Braham Puri, Sagarpur, New Delhi","90 Lac ","11765 per sqft ",S
"1 BHK Independent House for Sale in Janakpuri, New Delhi","30 Lac ","5556 per sqft ",U
"2 BHK Independent House for Sale in Vatva, Ahmedabad","75 Lac ","3268 per sqft ",R
"4 BHK Independent House for Sale in Thaltej, Ahmedabad","8 Cr ","14815 per sqft ",F
"3 BHK Independent House for Sale in Chandkheda, Ahmedabad","2 Cr ","4831 per sqft ",R
"5 BHK Independent House for Sale in Mandawali, New Delhi","50 Lac ","4444 per sqft ",U
"4 BHK Independent House for Sale in Panchsheel Enclave, New Delhi","15 Cr ","78947 per sqft ",S
"3 BHK Independent House for Sale in Jashoda Nagar, Ahmedabad","45 Lac ","5000 per sqft ",S
"3 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","2.50 Cr ","11111 per sqft ",U
"4 BHK Independent House for Sale in Shela, Ahmedabad","8 Cr ","9877 per sqft ",U
"7 BHK Independent House for Sale in New Friends Colony, New Delhi","18 Cr ","20000 per sqft ",S
"3 BHK Independent House for Sale in Mayur Vihar, New Delhi","2.70 Cr ","20000 per sqft ",U
"2 BHK Independent House for Sale in Najafgarh, New Delhi","28 Lac ","6222 per sqft ",R
"4 BHK Independent House for Sale in Ghuma, Ahmedabad","2.25 Cr ","5952 per sqft ",U
"4 BHK Independent House for Sale in Dholka, Ahmedabad","65 Lac ","35135 per sqft ",R
"3 BHK Independent House for Sale in Vishnu Garden, New Delhi","92.2 Lac ","13659 per sqft ",R
"7 BHK Independent House for Sale in Greater Kailash Enclave 1, New Delhi","12.50 Cr ","22727 per sqft ",S
"9 BHK Independent House for Sale in Chhattarpur, New Delhi","14.50 Cr ","18590 per sqft ",S
"3 BHK Independent House for Sale in Sultanpur, New Delhi","8.50 Cr ","21250 per sqft ",F
"2 BHK Independent House for Sale in Uttam Nagar, New Delhi","35 Lac ","4861 per sqft ",S
"3 BHK Independent House for Sale in Mausam Vihar, New Delhi","2.50 Cr ","13889 per sqft ",R
"4 BHK Independent House for Sale in Sitapuri, New Delhi","1.35 Cr ","15000 per sqft ",R
"5 BHK Independent House for Sale in Isanpur, Ahmedabad","85 Lac ","5667 per sqft ",S
"3 BHK Independent House for Sale in Vastral, Ahmedabad","80 Lac ","5079 per sqft ",S
"4 BHK Independent House for Sale in Nasmed, Ahmedabad","4.30 Cr ","7454 per sqft ",U
"4 BHK Independent House for Sale in Thaltej, Ahmedabad","10 Cr ","20350 per sqft ",F
"3 BHK Independent House for Sale in Ahmedabad","75 Lac ","6667 per sqft ",U
"4 BHK Independent House for Sale in Vatva, Ahmedabad","90 Lac ","3356 per sqft ",U
"2 BHK Independent House for Sale in Jivraj Park, Ahmedabad","2.25 Cr ","11111 per sqft ",F
"4 BHK Independent House for Sale in Ahmedabad","70 Lac ","4714 per sqft ",F
"3 BHK Independent House for Sale in Hathijan, Ahmedabad","62 Lac ","3080 per sqft ",S
"5 BHK Independent House for Sale in Prahlad Nagar, Ahmedabad","9.75 Cr ","14444 per sqft ",S
"4 BHK Independent House for Sale in Nava Naroda, Ahmedabad","3 Cr ","90090 per sqft ",F
"2 BHK Independent House for Sale in Maninagar, Ahmedabad","50 Lac ","5342 per sqft ",R
"3 BHK Independent House for Sale in Chandkheda, Ahmedabad","1.20 Cr ","10256 per sqft ",R
"4 BHK Independent House for Sale in Shilaj, Ahmedabad","3.55 Cr ","16435 per sqft ",F
"3 BHK Independent House for Sale in Vastral, Ahmedabad","32 Lac ","21333 per sqft ",R
"4 BHK Independent House for Sale in New CG Road, Ahmedabad","1.75 Cr ","10234 per sqft ",S
"4 BHK Independent House for Sale in Prahlad Nagar, Ahmedabad","5 Cr ","14286 per sqft ",R
"1 BHK Independent House for Sale in Vatva, Ahmedabad","70 Lac ","3889 per sqft ",U
"4 BHK Independent House for Sale in Sterling City, Bopal, Ahmedabad","3.25 Cr ","10484 per sqft ",S
"5 BHK Independent House for Sale in Shanti Nagar, Usman Pura, Ahmedabad","2.50 Cr ","10000 per sqft ",F
"3 BHK Independent House for Sale in Maninagar, Ahmedabad","2 Cr ","10000 per sqft ",N
