address,price,area,furnishing
"5 BHK Independent House for Sale in Sanathal, Ahmedabad","12.50 Cr ","17361 per sqft ",U
"3 BHK Independent House for Sale in Gurukul, Ahmedabad","2.25 Cr ","25803 per sqft ",U
"2 BHK Independent House for Sale in Rancharda, Ahmedabad","2.96 Cr ","4111 per sqft ",U
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","3.90 Cr ","11743 per sqft ",F
"4 BHK Independent House for Sale in Vasant Vihar 2, Naroda, Ahmedabad","1.40 Cr ","8750 per sqft ",R
"4 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","2.21 Cr ","6139 per sqft ",U
"2 BHK Independent House for Sale in Naroda, Ahmedabad","50 Lac ","8333 per sqft ",R
"4 BHK Independent House for Sale in Kankaria, Ahmedabad","2.50 Cr ","9615 per sqft ",N
"4 BHK Independent House for Sale in Memnagar, Ahmedabad","5.75 Cr ","26620 per sqft ",F
"2 BHK Independent House for Sale in Ghatlodia, Ahmedabad","3.40 Cr ","9942 per sqft ",R
"2 BHK Independent House for Sale in Ahmedabad","38 Lac ","5429 per sqft ",R
"4 BHK Independent House for Sale in Shela, Ahmedabad","6 Cr ","14981 per sqft ",F
"5 BHK Independent House for Sale in Ahmedabad","2.50 Cr ","7812 per sqft ",R
"2 BHK Independent House for Sale in Ghodasar, Ahmedabad","58 Lac ","9206 per sqft ",R
"3 BHK Independent House for Sale in Hathijan, Ahmedabad","61.5 Lac ","27333 per sqft ",S
"3 BHK Independent House for Sale in Bopal, Ahmedabad","1 Cr ","9183 per sqft ",R
"1 BHK Independent House for Sale in Jethalaj, Ahmedabad","1.24 Cr ","13376 per sqft ",U
"1 BHK Independent House for Sale in Vasna, Ahmedabad","65 Lac ","10317 per sqft ",U
"3 BHK Independent House for Sale in Changodar, Ahmedabad","36 Lac ","1515 per sqft ",R
"4 BHK Independent House for Sale in New CG Road, Ahmedabad","2.50 Cr ","11111 per sqft ",S
"2 BHK Independent House for Sale in Paras Nagar-Isanpur, Ahmedabad","75 Lac ","8772 per sqft ",N
"4 BHK Independent House for Sale in Ghodasar, Ahmedabad","1.80 Cr ","11111 per sqft ",R
"3 BHK Independent House for Sale in Maninagar, Ahmedabad","1.50 Cr ","9259 per sqft ",S
"5 BHK Independent House for Sale in Shela, Ahmedabad","7.65 Cr ","10559 per sqft ",U
"5 BHK Independent House for Sale in Shela, Ahmedabad","8.65 Cr ","11939 per sqft ",U
"5 BHK Independent House for Sale in Shela, Ahmedabad","5.30 Cr ","10707 per sqft ",U
"2 BHK Independent House for Sale in Sarangpur, Ahmedabad","20 Lac ","5556 per sqft ",R
"4 BHK Independent House for Sale in Bopal, Ahmedabad","1.91 Cr ","6063 per sqft ",S
"2 BHK Independent House for Sale in Fatehwadi, Juhapura, Ahmedabad","22 Lac ","22000 per sqft ",N
"3 BHK Independent House for Sale in Thaltej, Ahmedabad","4.10 Cr ","13805 per sqft ",U
"4 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","2.21 Cr ","6139 per sqft ",U
"4 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","3.60 Cr ","8850 per sqft ",F
"4 BHK Independent House for Sale in Satellite, Ahmedabad","3.25 Cr ","11285 per sqft ",F
"3 BHK Independent House for Sale in Mahadev Nagar, Ahmedabad","89 Lac ","6593 per sqft ",R
"3 BHK Independent House for Sale in Chandkheda, Ahmedabad","1.10 Cr ","7299 per sqft ",R
"4 BHK Independent House for Sale in Bodakdev, Ahmedabad","1.35 Cr ","6818 per sqft ",R
"4 BHK Independent House for Sale in GokulDham, 132 Feet Ring Road, Ahmedabad","4.80 Cr ","11696 per sqft ",U
"6 BHK Independent House for Sale in Ambli, Ahmedabad","5 Cr ","9259 per sqft ",S
"5 BHK Independent House for Sale in Maninagar, Ahmedabad","1.50 Cr ","11338 per sqft ",N
"3 BHK Independent House for Sale in Chandkheda, Ahmedabad","45 Lac ","40909 per sqft ",U
"2 BHK Independent House for Sale in Dariyapur, Ahmedabad","22 Lac ","26829 per sqft ",S
"3 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","95 Lac ","5556 per sqft ",U
"4 BHK Independent House for Sale in Bhadaj, Ahmedabad","4 Cr ","9070 per sqft ",S
"3 BHK Independent House for Sale in Bhadaj, Ahmedabad","2.60 Cr ","14444 per sqft ",S
"2 BHK Independent House for Sale in Vastral, Ahmedabad","75 Lac ","5556 per sqft ",R
"4 BHK Independent House for Sale in Ghuma, Ahmedabad","7 Cr ","11272 per sqft ",F
"1 BHK Independent House for Sale in Moraiya, Ahmedabad","35 Lac ","2274 per sqft ",R
"3 BHK Independent House for Sale in Bopal, Ahmedabad","1.28 Cr ","7314 per sqft ",U
"5 BHK Independent House for Sale in Sanathal, Ahmedabad","7.50 Cr ","11905 per sqft ",R
"5 BHK Independent House for Sale in Chandkheda, Ahmedabad","68 Lac ","4533 per sqft ",R
"6 BHK Independent House for Sale in Iscon Ambli Road, Ahmedabad","5 Cr ","9269 per sqft ",S
"5 BHK Independent House for Sale in Naranpura, Ahmedabad","4.50 Cr ","11062 per sqft ",R
"4 BHK Independent House for Sale in Shela, Ahmedabad","3.60 Cr ","8830 per sqft ",R
"3 BHK Independent House for Sale in Ahmedabad","72 Lac ","7579 per sqft ",R
"4 BHK Independent House for Sale in Ghodasar, Ahmedabad","65 Lac ","3250 per sqft ",F
"3 BHK Independent House for Sale in Maninagar, Ahmedabad","46 Lac ","4182 per sqft ",F
"3 BHK Independent House for Sale in North Bopal Road, Ahmedabad","1.80 Cr ","8000 per sqft ",R
"3 BHK Independent House for Sale in Jodhpur Cross Road, Ahmedabad","3 Cr ","13333 per sqft ",U
"3 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","4.75 Cr ","7937 per sqft ",S
"3 BHK Independent House for Sale in Vijay Nagar, Ranip, Ahmedabad","80 Lac ","8889 per sqft ",R
"4 BHK Independent House for Sale in Nava Naroda, Ahmedabad","1.40 Cr ","7071 per sqft ",F
"1 BHK Independent House for Sale in Isanpur, Ahmedabad","33 Lac ","73333 per sqft ",F
"3 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","1.75 Cr ","7595 per sqft ",F
"4 BHK Independent House for Sale in Ambawadi, Ahmedabad","5.17 Cr ","12778 per sqft ",F
"3 BHK Independent House for Sale in Science City, Ahmedabad","3.85 Cr ","15556 per sqft ",R
"1 BHK Independent House for Sale in Kalupur, Ahmedabad","70 Lac ","17500 per sqft ",R
"8 BHK Independent House for Sale in Gomtipur, Ahmedabad","30 Lac ","2212 per sqft ",R
"4 BHK Independent House for Sale in Sola, Ahmedabad","2 Cr ","11338 per sqft ",S
"4 BHK Independent House for Sale in Science City Road, Ahmedabad","2.40 Cr ","11594 per sqft ",R
"3 BHK Independent House for Sale in Ghatlodiya, Ahmedabad","1.20 Cr ","13333 per sqft ",S
"4 BHK Independent House for Sale in Thaltej, Ahmedabad","4.50 Cr ","6944 per sqft ",N
"2 BHK Independent House for Sale in Ghatlodia, Ahmedabad","1.50 Cr ","7974 per sqft ",R
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","4.25 Cr ","9677 per sqft ",S
"4 BHK Independent House for Sale in Bopal, Ahmedabad","1.55 Cr ","9568 per sqft ",U
"2 BHK Independent House for Sale in Raipur, Khadia, Ahmedabad","40 Lac ","4040 per sqft ",S
"4 BHK Independent House for Sale in Vastrapur, Ahmedabad","3.25 Cr ","9028 per sqft ",F
"4 BHK Independent House for Sale in Prahlad Nagar, Ahmedabad","3 Cr ","15873 per sqft ",F
"4 BHK Independent House for Sale in Lambha, Ahmedabad","1.55 Cr ","8554 per sqft ",F
"5 BHK Independent House for Sale in Vejalpur, Jivraj park, Ahmedabad","3 Cr ","6667 per sqft ",U
"3 BHK Independent House for Sale in Bodakdev, Ahmedabad","90 Lac ","10490 per sqft ",R
"3 BHK Independent House for Sale in Rakhial, Ahmedabad","60 Lac ","3659 per sqft ",R
"4 BHK Independent House for Sale in Vaishnodevi Cir, Ahmedabad","9.50 Cr ","17593 per sqft ",U
"4 BHK Independent House for Sale in Shela, Ahmedabad","6 Cr ","65217 per sqft ",U
"4 BHK Independent House for Sale in Paras Nagar-Isanpur, Ahmedabad","63 Lac ","8056 per sqft ",R
"2 BHK Independent House for Sale in Khodiyar Nagar, Behrampura, Ahmedabad","41 Lac ","4100 per sqft ",R
"4 BHK Independent House for Sale in Motera, Ahmedabad","2.25 Cr ","7143 per sqft ",F
"3 BHK Independent House for Sale in Gurukul, Ahmedabad","1.90 Cr ","11111 per sqft ",R
"4 BHK Independent House for Sale in Sanathal, Ahmedabad","6.11 Cr ","15607 per sqft ",U
"8 BHK Independent House for Sale in Virat Nagar, Odhav, Ahmedabad","90 Lac ","4000 per sqft ",S
"3 BHK Independent House for Sale in Vastral, Ahmedabad","1.50 Cr ","7752 per sqft ",F
"4 BHK Independent House for Sale in Satellite, Ahmedabad","3.20 Cr ","17778 per sqft ",R
"2 BHK Independent House for Sale in Nikol Naroda Road, Ahmedabad","70 Lac ","2692 per sqft ",R
"3 BHK Independent House for Sale in Maninagar East, Maninagar, Ahmedabad","30 Lac ","5556 per sqft ",U
"2 BHK Independent House for Sale in Bapunagar, Ahmedabad","31 Lac ","2870 per sqft ",U
"3 BHK Independent House for Sale in Nana Chiloda, Ahmedabad","80 Lac ","8155 per sqft ",R
"2 BHK Independent House for Sale in Ghodasar, Ahmedabad","1.35 Cr ","9643 per sqft ",S
"5 BHK Independent House for Sale in Isanpur, Ahmedabad","2.50 Cr ","7143 per sqft ",R
"5 BHK Independent House for Sale in Isanpur, Ahmedabad","90 Lac ","4444 per sqft ",R
"2 BHK Independent House for Sale in New Maninagar, Ahmedabad","55 Lac ","10000 per sqft ",R
"3 BHK Independent House for Sale in Thaltej, Ahmedabad","2.65 Cr ","11325 per sqft ",R
"3 BHK Independent House for Sale in Shela, Ahmedabad","2.31 Cr ","12222 per sqft ",R
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","1.35 Cr ","5000 per sqft ",S
"4 BHK Independent House for Sale in Vaishnodevi Cir, Ahmedabad","12 Cr ","17613 per sqft ",F
"4 BHK Independent House for Sale in Sola Over-Bridge, Thaltej, Ahmedabad","2.60 Cr ","11556 per sqft ",F
"4 BHK Independent House for Sale in Science City, Ahmedabad","4 Cr ","14383 per sqft ",F
"1 BHK Independent House for Sale in Sarkhej Gam, Ahmedabad","30 Lac ","441 per sqft ",R
"2 BHK Independent House for Sale in Ghodasar, Ahmedabad","20 Lac ","2614 per sqft ",R
"2 BHK Independent House for Sale in Rabari Colony, Amraiwadi, Ahmedabad","32 Lac ","3200 per sqft ",R
"4 BHK Independent House for Sale in Sanand, Ahmedabad","4.25 Cr ","30357 per sqft ",U
"4 BHK Independent House for Sale in Navrangpura, Ahmedabad","2.85 Cr ","12667 per sqft ",R
"6 BHK Independent House for Sale in Ahmedabad","75 Lac ","8333 per sqft ",R
"2 BHK Independent House for Sale in Rabari Colony, Amraiwadi, Ahmedabad","38 Lac ","3800 per sqft ",R
"5 BHK Independent House for Sale in Nava Naroda, Ahmedabad","95 Lac ","8120 per sqft ",F
"2 BHK Independent House for Sale in Ghatlodiya, Ahmedabad","90 Lac ","6897 per sqft ",R
"3 BHK Independent House for Sale in Dariyapur, Ahmedabad","30 Lac ","3333 per sqft ",R
"5 BHK Independent House for Sale in Hanspura, Naroda, Ahmedabad","65 Lac ","2600 per sqft ",R
"3 BHK Independent House for Sale in Science City, Ahmedabad","3 Cr ","13889 per sqft ",S
"4 BHK Independent House for Sale in Thaltej, Ahmedabad","5.50 Cr ","15164 per sqft ",R
"2 BHK Independent House for Sale in Ahmedabad","40 Lac ","3200 per sqft ",R
"5 BHK Independent House for Sale in New Ranip, Ahmedabad","90 Lac ","9091 per sqft ",2
"2 BHK Independent House for Sale in Dholka, Ahmedabad","60 Lac ","6383 per sqft ",U
"2 BHK Independent House for Sale in Hirawadi, Bapunagar, Ahmedabad","25 Lac ","4167 per sqft ",U
"1 BHK Independent House for Sale in Narolgam, Ahmedabad","4 Lac ","593 per sqft ",R
"4 BHK Independent House for Sale in Ahmedabad","2.65 Cr ","9654 per sqft ",R
"2 BHK Independent House for Sale in Nirnay Nagar, Ahmedabad","45 Lac ","3750 per sqft ",2
"4 BHK Independent House for Sale in Ghodasar, Ahmedabad","3.31 Cr ","6620 per sqft ",R
"2 BHK Independent House for Sale in Satellite, Ahmedabad","51 Lac ","6108 per sqft ",R
"4 BHK Independent House for Sale in Iscon Ambli Road, Ahmedabad","8.60 Cr ","25481 per sqft ",F
"1 BHK Independent House for Sale in Mitramandal Colony, Thakkarbapu Nagar, Ahmedabad","50 Lac ","23810 per sqft ",R
"4 BHK Independent House for Sale in Kolat, Ahmedabad","3.25 Cr ","4233 per sqft ",U
"4 BHK Independent House for Sale in Science City, Ahmedabad","2.70 Cr ","9133 per sqft ",U
"1 BHK Independent House for Sale in Ahmedabad","60 Lac ","100000 per sqft ",R
"4 BHK Independent House for Sale in PRL Colony, Thaltej, Ahmedabad","4.25 Cr ","13492 per sqft ",S
"3 BHK Independent House for Sale in Vastral, Ahmedabad","30 Lac ","2500 per sqft ",R
"4 BHK Independent House for Sale in Ahmedabad","90 Lac ","5291 per sqft ",R
"4 BHK Independent House for Sale in Ghodasar, Ahmedabad","72 Lac ","3789 per sqft ",R
"4 BHK Independent House for Sale in Bhadaj, Ahmedabad","4.50 Cr ","13433 per sqft ",U
"4 BHK Independent House for Sale in Bopal, Ahmedabad","3.49 Cr ","8617 per sqft ",U
"3 BHK Independent House for Sale in Paldi, Ahmedabad","3.50 Cr ","17677 per sqft ",U
"3 BHK Independent House for Sale in Odhav, Ahmedabad","74.9 Lac ","1546 per sqft ",R
"1 BHK Independent House for Sale in Amraiwadi, Ahmedabad","32 Lac ","3765 per sqft ",R
"4 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","3.15 Cr ","9777 per sqft ",U
"5 BHK Independent House for Sale in GIDC Naroda, Ahmedabad","1.10 Cr ","5914 per sqft ",R
"2 BHK Independent House for Sale in India Colony, Bapunagar, Ahmedabad","60 Lac ","6881 per sqft ",R
"4 BHK Independent House for Sale in Bhadaj, Ahmedabad","7 Cr ","13462 per sqft ",F
"4 BHK Independent House for Sale in Vastral, Ahmedabad","1.07 Cr ","9145 per sqft ",S
"5 BHK Independent House for Sale in Kanbha, Ahmedabad","38 Lac ","2235 per sqft ",R
"3 BHK Independent House for Sale in Bodakdev, Ahmedabad","1.65 Cr ","6091 per sqft ",R
"5 BHK Independent House for Sale in Vijay Char Rasta, Naranpura, Ahmedabad","2.75 Cr ","137500 per sqft ",S
"5 BHK Independent House for Sale in Chandkheda, Ahmedabad","1.60 Cr ","6512 per sqft ",R
"4 BHK Independent House for Sale in Ahmedabad","88 Lac ","6286 per sqft ",R
"4 BHK Independent House for Sale in Paldi, Ahmedabad","1.25 Cr ","5144 per sqft ",U
"2 BHK Independent House for Sale in Ranip, Ahmedabad","36 Lac ","2571 per sqft ",U
" House for Sale in Sarkhej Gandhinagar Highway, Ahmedabad","1.3 Lac ","0 per sqft ",F
"4 BHK Independent House for Sale in Naroda, Ahmedabad","1.30 Cr ","8667 per sqft ",U
"4 BHK Independent House for Sale in Thaltej, Ahmedabad","2.75 Cr ","9985 per sqft ",U
"3 BHK Independent House for Sale in Vasant Vihar 2, Naroda, Ahmedabad","3 Cr ","9804 per sqft ",U
"4 BHK Independent House for Sale in Thaltej, Ahmedabad","4 Cr ","14815 per sqft ",F
"4 BHK Independent House for Sale in Ghuma, Ahmedabad","1.25 Cr ","4209 per sqft ",N
"4 BHK Independent House for Sale in Ahmedabad","25 Lac ","17483 per sqft ",R
"4 BHK Independent House for Sale in Sindhu Bhavan Marg, Ahmedabad","27 Cr ","175097 per sqft ",F
"3 BHK Independent House for Sale in CTM, Amraiwadi, Ahmedabad","92 Lac ","7572 per sqft ",R
"1 BHK Independent House for Sale in Changodar, Ahmedabad","16 Lac ","1778 per sqft ",N
"2 BHK Independent House for Sale in Kuha, Ahmedabad","40 Lac ","6250 per sqft ",U
"3 BHK Independent House for Sale in Gulbai Tekra, Ahmedabad","2.90 Cr ","86567 per sqft ",R
"3 BHK Independent House for Sale in Sanand, Ahmedabad","2.75 Cr ","8488 per sqft ",U
"4 BHK Independent House for Sale in Kuber Nagar, Ahmedabad","50 Lac ","3333 per sqft ",N
"4 BHK Independent House for Sale in Shilaj, Ahmedabad","8.63 Cr ","11111 per sqft ",S
"3 BHK Independent House for Sale in Shela, Ahmedabad","2.30 Cr ","11886 per sqft ",U
"2 BHK Independent House for Sale in Hatkeshwar, Ahmedabad","50 Lac ","15873 per sqft ",2
"3 BHK Independent House for Sale in Odhav, Ahmedabad","45 Lac ","2083 per sqft ",F
" Villa for Sale in Shahibuag, Ahmedabad","3.51 Cr ","6500 per sqft ",U
"3 BHK Independent House for Sale in Bapunagar, Ahmedabad","62 Lac ","6263 per sqft ",S
"3 BHK Independent House for Sale in New Maninagar, Ahmedabad","70 Lac ","6087 per sqft ",U
"4 BHK Independent House for Sale in Iscon Ambli Road, Ahmedabad","8 Cr ","22222 per sqft ",F
"3 BHK Independent House for Sale in Ghuma, Ahmedabad","1.75 Cr ","8239 per sqft ",R
"4 BHK Independent House for Sale in Satellite Road, Ahmedabad","3.75 Cr ","11111 per sqft ",S
"2 BHK Independent House for Sale in Chandlodia, Chanakyapuri, Ahmedabad","70 Lac ","3889 per sqft ",F
"4 BHK Independent House for Sale in Paldi, Ahmedabad","2.40 Cr ","8889 per sqft ",R
"3 BHK Independent House for Sale in Sterling City, Bopal, Ahmedabad","3.25 Cr ","9028 per sqft ",S
"3 BHK Independent House for Sale in Science City, Ahmedabad","3.85 Cr ","12885 per sqft ",R
"3 BHK Independent House for Sale in Bodakdev, Ahmedabad","5.11 Cr ","15772 per sqft ",S
"1 BHK Independent House for Sale in Chandranagar, Paldi, Ahmedabad","2.10 Cr ","11438 per sqft ",R
"5 BHK Independent House for Sale in Chandkheda, Ahmedabad","2.80 Cr ","7778 per sqft ",U
"3 BHK Independent House for Sale in Thaltej, Ahmedabad","1.25 Cr ","10288 per sqft ",R
"4 BHK Independent House for Sale in Ahmedabad","2.51 Cr ","12395 per sqft ",S
"4 BHK Independent House for Sale in Narolgam, Ahmedabad","75 Lac ","6410 per sqft ",R
"3 BHK Independent House for Sale in Chandlodia, Chanakyapuri, Ahmedabad","1.20 Cr ","8081 per sqft ",R
"3 BHK Independent House for Sale in Ahmedabad","1.45 Cr ","5335 per sqft ",S
"3 BHK Independent House for Sale in Ghuma, Ahmedabad","2.50 Cr ","11820 per sqft ",U
"5 BHK Independent House for Sale in Hathijan, Ahmedabad","3 Cr ","8333 per sqft ",R
"3 BHK Independent House for Sale in Gurukul, Ahmedabad","1.70 Cr ","18889 per sqft ",S
"4 BHK Independent House for Sale in Ranna Park, Nirnay Nagar, Ahmedabad","2.60 Cr ","11285 per sqft ",S
"3 BHK Independent House for Sale in Sanand, Ahmedabad","2.15 Cr ","1991 per sqft ",U
"4 BHK Independent House for Sale in Aarohi Club Road, Ahmedabad","1.75 Cr ","6481 per sqft ",U
"3 BHK Independent House for Sale in Science City, Ahmedabad","2.55 Cr ","11333 per sqft ",R
"3 BHK Independent House for Sale in Chiloda, Ahmedabad","75 Lac ","4386 per sqft ",U
"4 BHK Independent House for Sale in Bhadaj, Ahmedabad","5 Cr ","102041 per sqft ",U
"5 BHK Independent House for Sale in Ghodasar, Ahmedabad","60 Lac ","6000 per sqft ",R
"1 BHK Independent House for Sale in Kalikund, Ahmedabad","21 Lac ","2431 per sqft ",R
"4 BHK Independent House for Sale in Shela, Ahmedabad","2.51 Cr ","8325 per sqft ",S
"4 BHK Independent House for Sale in Ahmedabad","1.20 Cr ","9600 per sqft ",R
"4 BHK Independent House for Sale in Nana Chiloda, Ahmedabad","1.25 Cr ","4209 per sqft ",R
"4 BHK Independent House for Sale in Nasmed, Ahmedabad","4.90 Cr ","6797 per sqft ",U
"4 BHK Independent House for Sale in Bhadaj, Ahmedabad","3 Cr ","15152 per sqft ",U
"3 BHK Independent House for Sale in Bapunagar, Ahmedabad","32 Lac ","2000 per sqft ",S
"4 BHK Independent House for Sale in GokulDham, 132 Feet Ring Road, Ahmedabad","9.51 Cr ","6179 per sqft ",U
"3 BHK Independent House for Sale in Vastral, Ahmedabad","37 Lac ","7115 per sqft ",F
"3 BHK Independent House for Sale in SG Highway, Ahmedabad","3 Cr ","14749 per sqft ",U
"3 BHK Independent House for Sale in Sola Road, Ahmedabad","1.95 Cr ","9220 per sqft ",R
"3 BHK Independent House for Sale in Vatva, Ahmedabad","58 Lac ","5800 per sqft ",R
"4 BHK Independent House for Sale in Science City, Ahmedabad","3.75 Cr ","14518 per sqft ",R
"3 BHK Independent House for Sale in Isanpur, Ahmedabad","60 Lac ","5848 per sqft ",R
"1 BHK Independent House for Sale in Saraspur, Ahmedabad","35 Lac ","5691 per sqft ",R
"5 BHK Independent House for Sale in Sabarmati, Ahmedabad","2 Cr ","10000 per sqft ",N
"4 BHK Independent House for Sale in Science City Road, Ahmedabad","2.40 Cr ","15686 per sqft ",F
"3 BHK Independent House for Sale in Thaltej, Ahmedabad","3.65 Cr ","8111 per sqft ",S
"8 BHK Independent House for Sale in Ambawadi, Ahmedabad","6 Cr ","9524 per sqft ",S
"2 BHK Independent House for Sale in Ahmedabad","70 Lac ","5833 per sqft ",R
"2 BHK Independent House for Sale in Chandkheda, Ahmedabad","42 Lac ","6000 per sqft ",U
"4 BHK Independent House for Sale in Bopal, Ahmedabad","15 Cr ","27778 per sqft ",R
"5 BHK Independent House for Sale in Ahmedabad","6 Cr ","7843 per sqft ",U
"5 BHK Independent House for Sale in Bapunagar, Ahmedabad","1.50 Cr ","75000 per sqft ",R
"4 BHK Independent House for Sale in Vastrapur, Ahmedabad","3.25 Cr ","13131 per sqft ",F
"4 BHK Independent House for Sale in Ahmedabad","2 Cr ","11111 per sqft ",R
"3 BHK Independent House for Sale in Rabari Colony, Amraiwadi, Ahmedabad","85 Lac ","18478 per sqft ",S
"3 BHK Independent House for Sale in Naranpura, Ahmedabad","2.50 Cr ","18519 per sqft ",F
"1 BHK Independent House for Sale in Chandlodia, Chanakyapuri, Ahmedabad","60 Lac ","6000 per sqft ",R
"4 BHK Independent House for Sale in Maninagar, Ahmedabad","80 Lac ","33333 per sqft ",R
"4 BHK Independent House for Sale in Motera, Ahmedabad","2.75 Cr ","13764 per sqft ",S
"3 BHK Independent House for Sale in Satellite Road, Ahmedabad","6 Cr ","19048 per sqft ",R
"1 BHK Independent House for Sale in Ahmedabad","12 Lac ","1714 per sqft ",U
"1 BHK Independent House for Sale in Lambha, Ahmedabad","55 Lac ","38462 per sqft ",U
"3 BHK Independent House for Sale in Chandkheda, Ahmedabad","1.50 Cr ","6667 per sqft ",U
"4 BHK Independent House for Sale in Motera, Ahmedabad","3.25 Cr ","10317 per sqft ",R
"3 BHK Independent House for Sale in India Colony, Bapunagar, Ahmedabad","28 Lac ","4242 per sqft ",F
"4 BHK Independent House for Sale in Sterling City, Bopal, Ahmedabad","3 Cr ","8889 per sqft ",R
"2 BHK Independent House for Sale in Memnagar, Ahmedabad","55 Lac ","6111 per sqft ",S
"4 BHK Independent House for Sale in Thaltej, Ahmedabad","2.80 Cr ","8889 per sqft ",S
"4 BHK Independent House for Sale in Sanathal, Ahmedabad","2.15 Cr ","7152 per sqft ",U
"4 BHK Independent House for Sale in Isanpur, Ahmedabad","35 Lac ","1667 per sqft ",S
"2 BHK Independent House for Sale in Kathwada, Ahmedabad","35.4 Lac ","3450 per sqft ",S
"2 BHK Independent House for Sale in Isanpur, Ahmedabad","55 Lac ","7275 per sqft ",S
"5 BHK Independent House for Sale in Chandkheda, Ahmedabad","15 Cr ","17094 per sqft ",U
"3 BHK Independent House for Sale in Shela, Ahmedabad","2.10 Cr ","10179 per sqft ",R
"4 BHK Independent House for Sale in Shreyas Railway Crossing Road, Ahmedabad","3.60 Cr ","13333 per sqft ",F
"4 BHK Independent House for Sale in Palodia, Ahmedabad","3.51 Cr ","11143 per sqft ",F
"5 BHK Independent House for Sale in Vejalpur, Jivraj park, Ahmedabad","60 Lac ","2778 per sqft ",R
"8 BHK Independent House for Sale in Kalupur, Ahmedabad","60 Lac ","2667 per sqft ",F
"4 BHK Independent House for Sale in New CG Road, Ahmedabad","3.50 Cr ","11929 per sqft ",S
"1 BHK Independent House for Sale in Isanpur, Ahmedabad","21.5 Lac ","3909 per sqft ",S
"1 BHK Independent House for Sale in Maninagar, Ahmedabad","2.50 Cr ","13550 per sqft ",U
"4 BHK Independent House for Sale in Bhavana Society, Ranip, Ahmedabad","1.05 Cr ","5419 per sqft ",S
"4 BHK Independent House for Sale in Shela, Ahmedabad","7.21 Cr ","9370 per sqft ",U
"2 BHK Independent House for Sale in Thaltej, Ahmedabad","1 Cr ","8889 per sqft ",R
"4 BHK Independent House for Sale in South Bopal, Bopal, Ahmedabad","2 Cr ","6349 per sqft ",R
"5 BHK Independent House for Sale in Odhav, Ahmedabad","80 Lac ","4489 per sqft ",R
"3 BHK Independent House for Sale in Vastral, Ahmedabad","1.43 Cr ","10593 per sqft ",R
"4 BHK Independent House for Sale in Sola Road, Ahmedabad","2.80 Cr ","16817 per sqft ",F
"2 BHK Independent House for Sale in Sanand, Ahmedabad","8 Cr ","32090 per sqft ",F
"4 BHK Independent House for Sale in Prahlad Nagar, Ahmedabad","3 Cr ","13889 per sqft ",U
"3 BHK Independent House for Sale in Thaltej, Ahmedabad","2.95 Cr ","14251 per sqft ",S
"3 BHK Independent House for Sale in Sanand, Ahmedabad","2.75 Cr ","8488 per sqft ",U
"4 BHK Independent House for Sale in Shela, Ahmedabad","6.50 Cr ","16230 per sqft ",F
"4 BHK Independent House for Sale in Patel Society, Asarwa, Ahmedabad","2.80 Cr ","87500 per sqft ",F
"3 BHK Independent House for Sale in Usman Pura, Ahmedabad","1.25 Cr ","5051 per sqft ",N
"4 BHK Independent House for Sale in Shela, Ahmedabad","2.75 Cr ","8730 per sqft ",F
"4 BHK Independent House for Sale in Naranpura, Ahmedabad","5.25 Cr ","16204 per sqft ",F
"1 BHK Independent House for Sale in Ghodasar, Ahmedabad","45 Lac ","30000 per sqft ",R
"3 BHK Independent House for Sale in Paldi, Ahmedabad","55 Lac ","3492 per sqft ",S
"3 BHK Independent House for Sale in CTM, Amraiwadi, Ahmedabad","35 Lac ","1944 per sqft ",2
"3 BHK Independent House for Sale in Isanpur, Ahmedabad","57 Lac ","5556 per sqft ",R
"4 BHK Independent House for Sale in Thaltej Shilaj Road, Ahmedabad","8.75 Cr ","16204 per sqft ",F
"3 BHK Independent House for Sale in Hathijan, Ahmedabad","85 Lac ","4722 per sqft ",R
"3 BHK Independent House for Sale in Bhadaj, Ahmedabad","5 Cr ","12626 per sqft ",S
"3 BHK Independent House for Sale in Ghodasar, Ahmedabad","72 Lac ","8421 per sqft ",S
"4 BHK Independent House for Sale in Shahpur, Ahmedabad","50 Lac ","4739 per sqft ",R
"4 BHK Independent House for Sale in Thaltej Shilaj Road, Ahmedabad","2.75 Cr ","10185 per sqft ",S
"2 BHK Independent House for Sale in Chandkheda, Ahmedabad","69 Lac ","5750 per sqft ",R
"3 BHK Independent House for Sale in Shela, Ahmedabad","1.90 Cr ","9179 per sqft ",F
"5 BHK Independent House for Sale in Behrampura, Ahmedabad","80 Lac ","5926 per sqft ",S
"4 BHK Independent House for Sale in Vastrapur, Ahmedabad","8.10 Cr ","15000 per sqft ",F
"3 BHK Independent House for Sale in Ghuma, Ahmedabad","1.35 Cr ","7500 per sqft ",R
"3 BHK Independent House for Sale in Bopal, Ahmedabad","62 Lac ","4052 per sqft ",R
